lag,period,horizon,target_pct,target_label,n,target_hits,target_hit_rate,target_hit_wilson_lower_95,target_hit_wilson_upper_95,mean_realized_return,median_realized_return,entry_dates,codes,events,retention_vs_parent_crosses
6,year_2024,T+20,16,target_16pct,3067,860,0.28040430388001303,0.26478883374882217,0.29656919917609326,0.010187615352950903,0.00832755031228305,178,1147,18873,0.33487703609070585
6,year_2024,T+20,17,target_17pct,3067,796,0.25953700684708186,0.24432965946617574,0.2753459890596226,0.010993943507544087,0.00746268656716409,178,1147,18873,0.33487703609070585
6,year_2024,T+20,18,target_18pct,3067,748,0.24388653407238345,0.22901505552261872,0.25939880470384163,0.011987647642035335,0.006503230898957657,178,1147,18873,0.33487703609070585
6,year_2024,T+20,19,target_19pct,3067,708,0.23084447342680142,0.21627367891181729,0.24608869106519482,0.01316577653476557,0.00627802690582957,178,1147,18873,0.33487703609070585
6,year_2024,T+20,20,target_20pct,3067,668,0.21780241278121942,0.203552379306364,0.2327585004211999,0.01391968410201015,0.005838563713326472,178,1147,18873,0.33487703609070585
6,year_2025,T+20,1,target_1pct,3614,3324,0.9197565024903155,0.9104469341270116,0.9281746351534125,0.0038777276740479543,0.01,221,1569,18873,0.33487703609070585
6,year_2025,T+20,2,target_2pct,3614,3128,0.8655229662423907,0.854010882467609,0.8762587899249025,0.009921259510187627,0.02,221,1569,18873,0.33487703609070585
6,year_2025,T+20,3,target_3pct,3614,2918,0.8074156059767571,0.794235407767737,0.8199429465305828,0.014680789776505148,0.03,221,1569,18873,0.33487703609070585
6,year_2025,T+20,4,target_4pct,3614,2710,0.7498616491422246,0.7354810784597386,0.7637115893452863,0.019678854924638133,0.04,221,1569,18873,0.33487703609070585
6,year_2025,T+20,5,target_5pct,3614,2492,0.689540675152186,0.6742611148343521,0.7044177084728928,0.023860595777494248,0.05,221,1569,18873,0.33487703609070585
6,year_2025,T+20,6,target_6pct,3614,2263,0.6261759822910902,0.6102757389469051,0.6418082660576256,0.026791545508894867,0.06,221,1569,18873,0.33487703609070585
6,year_2025,T+20,7,target_7pct,3614,2066,0.5716657443276149,0.5554646870466495,0.5877146052695205,0.029728603669658165,0.07,221,1569,18873,0.33487703609070585
6,year_2025,T+20,8,target_8pct,3614,1869,0.5171555063641394,0.5008538637286299,0.533420715899179,0.03206514058550605,0.08,221,1569,18873,0.33487703609070585
6,year_2025,T+20,9,target_9pct,3614,1706,0.4720531267293857,0.45581523634633486,0.4883503678083633,0.03455414464844448,0.05457910457348425,221,1569,18873,0.33487703609070585
6,year_2025,T+20,10,target_10pct,3614,1551,0.4291643608190371,0.41311072822711986,0.44536842685805583,0.036350153273924504,0.044731809701492486,221,1569,18873,0.33487703609070585
6,year_2025,T+20,11,target_11pct,3614,1416,0.39180962921970114,0.37601708377019627,0.40783193825442743,0.03837385263785903,0.041174538603539146,221,1569,18873,0.33487703609070585
6,year_2025,T+20,12,target_12pct,3614,1289,0.35666851134477034,0.34121074986019373,0.37243066550746634,0.039627855025426706,0.038461538461538436,221,1569,18873,0.33487703609070585
6,year_2025,T+20,13,target_13pct,3614,1156,0.3198671831765357,0.30485832377321276,0.3352585901347924,0.04086805850800438,0.036980768395102004,221,1569,18873,0.33487703609070585
